gene_id,ERR1338025,ERR1338026,ERR1338027,ERR1338028,ERR1338029,ERR1338030,ERR1338031,ERR1338032
ENSG00000223972.6|DDX11L1,0,0,0,0,0,0,0,0
ENSG00000237613.2|FAM138A,0,0,0,0,5,0,0,2
ENSG00000268020.3|OR4G4P,0,0,0,0,2,0,0,0
ENSG00000290826.1|ENSG00000290826,0,0,0,0,0,0,0,0
ENSG00000240361.3|OR4G11P,0,0,0,0,0,0,0,0
ENSG00000186092.7|OR4F5,0,0,0,0,0,0,0,0
ENSG00000239945.1|ENSG00000239945,0,0,0,0,0,0,0,0
ENSG00000238009.6|ENSG00000238009,3,13,11,4,35,23,23,31
ENSG00000222623.1|RNU6-1100P,0,1,1,0,1,0,3,3
ENSG00000269732.1|WBP1LP7,0,0,0,0,0,0,0,0
ENSG00000284733.2|OR4F29,0,0,2,0,1,0,0,0
ENSG00000290385.1|ENSG00000290385,137,129,240,70,1035,718,396,543
ENSG00000278757.1|U6,0,1,0,0,3,0,9,2
ENSG00000268663.1|WBP1LP6,0,0,0,0,0,0,0,0
ENSG00000284662.2|OR4F16,0,1,1,0,1,0,0,0
ENSG00000223181.1|RNU6-1199P,0,0,0,0,0,0,0,0
ENSG00000237491.10|LINC01409,76,48,111,29,279,231,127,109
ENSG00000230092.8|ENSG00000230092,0,0,0,0,2,20,0,0
ENSG00000228794.12|LINC01128,2416,2665,2956,1021,2140,1861,2404,2476
ENSG00000290825.1|DDX11L2,5,7,10,2,12,12,11,7
ENSG00000227232.5|WASH7P,455,559,588,194,1556,1524,1574,1596
ENSG00000278267.1|MIR6859-1,7,11,13,4,56,58,45,36
ENSG00000243485.5|MIR1302-2HG,57,66,33,17,93,68,91,109
ENSG00000284332.1|MIR1302-2,1,1,1,1,1,1,1,1
ENSG00000233750.3|CICP27,24,23,24,3,36,37,22,11
ENSG00000268903.1|ENSG00000268903,58,44,86,21,423,321,221,249
ENSG00000269981.1|ENSG00000269981,37,32,42,10,188,117,96,122
ENSG00000239906.1|ENSG00000239906,3,6,5,0,21,21,20,10
ENSG00000241860.7|ENSG00000241860,87,72,93,22,319,226,273,272
ENSG00000241599.1|ENSG00000241599,5,0,0,0,7,2,0,4
ENSG00000279928.2|DDX11L17,7,6,7,0,9,5,3,2
ENSG00000279457.4|WASH9P,341,454,450,131,2136,2070,2112,2241
ENSG00000273874.1|MIR6859-2,3,6,3,2,45,41,34,27
ENSG00000228463.10|ENSG00000228463,59,65,78,23,200,142,144,119
ENSG00000286448.1|ENSG00000286448,7,12,6,1,5,5,18,13
ENSG00000236679.2|RPL23AP24,5,8,4,3,42,38,25,26
ENSG00000236601.2|ENSG00000236601,6,15,8,5,13,18,1,6
ENSG00000237094.13|ENSG00000237094,1,1,1,0,1,1,1,0
ENSG00000233653.3|CICP7,25,15,18,4,23,17,13,13
ENSG00000250575.1|ENSG00000250575,106,86,192,50,988,725,552,540
ENSG00000230021.10|ENSG00000230021,21,29,21,2,28,35,7,5
ENSG00000235146.2|ENSG00000235146,2,2,1,0,0,0,0,0
ENSG00000225972.1|MTND1P23,827,823,870,224,687,1010,986,1159
ENSG00000225630.1|MTND2P28,13325,13946,14568,4799,23959,23379,17880,19560
ENSG00000237973.1|MTCO1P12,38815,43579,47050,13639,50119,48132,56459,70744
ENSG00000278791.1|ENSG00000278791,1,1,1,1,0,0,0,0
ENSG00000229344.1|MTCO2P12,163,265,197,45,220,356,241,273
ENSG00000240409.1|MTATP8P1,4,10,5,3,7,7,7,12
ENSG00000248527.1|MTATP6P1,16150,18483,22007,6243,28643,28657,24076,24152
ENSG00000198744.5|MTCO3P12,342,402,449,129,501,547,410,507
ENSG00000229376.3|CICP3,10,13,10,2,12,11,6,5
ENSG00000291215.1|ENSG00000291215,187,152,286,95,2322,1507,1124,1265
ENSG00000229905.1|ENSG00000229905,4,1,4,1,4,2,3,2
ENSG00000228327.6|ENSG00000228327,1,1,2,0,4,0,3,0
ENSG00000285268.1|ENSG00000285268,1,1,1,1,1,1,1,1
ENSG00000290784.1|ENSG00000290784,6,10,10,0,49,33,3,8
ENSG00000177757.2|FAM87B,45,8,21,5,121,49,28,23
ENSG00000225880.6|LINC00115,118,121,90,62,1081,823,580,686
ENSG00000288531.1|ENSG00000288531,5,19,23,8,0,0,5,14
ENSG00000230368.2|FAM41C,0,0,0,0,0,0,8,19
ENSG00000283040.1|ENSG00000283040,0,0,0,0,0,0,0,0
ENSG00000234711.1|TUBB8P11,2,1,8,2,1,2,1,1
ENSG00000187583.11|PLEKHN1,20,0,11,9,77,50,27,23
ENSG00000187642.10|PERM1,0,12,0,5,116,102,88,74
ENSG00000242590.1|ENSG00000242590,0,0,0,0,0,0,0,0
